# OSU MPI Latency Test v4.0.1
# Size          Latency (us)
0                       0.21
1                       0.23
2                       0.23
4                       0.23
8                       0.23
16                      0.23
32                      0.24
64                      0.24
128                     0.28
256                     0.30
512                     0.38
1024                    0.43
2048                    0.60
4096                    0.99
8192                    1.42
16384                   2.68
32768                   4.60
65536                   7.43
131072                 13.27
262144                 24.07
524288                 44.47
1048576                85.09
2097152               180.43
4194304               457.18

