# OSU MPI Latency Test v4.0.1
# Size          Latency (us)
0                       0.13
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.16
32                      0.17
64                      0.20
128                     0.36
256                     0.35
512                     0.43
1024                    0.47
2048                    0.64
4096                    1.18
8192                    1.72
16384                   3.04
32768                   5.20
65536                   8.13
131072                 14.17
262144                 25.34
524288                 47.57
1048576                91.64
2097152               201.91
4194304               547.44

