# OSU MPI Latency Test v4.0.1
# Size          Latency (us)
0                       0.14
1                       0.15
2                       0.15
4                       0.15
8                       0.15
16                      0.16
32                      0.16
64                      0.19
128                     0.33
256                     0.35
512                     0.48
1024                    0.60
2048                    0.84
4096                    1.13
8192                    1.71
16384                   2.95
32768                   5.08
65536                   8.07
131072                 14.06
262144                 25.37
524288                 47.58
1048576                91.82
2097152               201.21
4194304               549.99

