# OSU MPI Latency Test v4.0.1
# Size          Latency (us)
0                       0.25
1                       0.27
2                       0.28
4                       0.27
8                       0.28
16                      0.27
32                      0.29
64                      0.29
128                     0.33
256                     0.34
512                     0.39
1024                    0.45
2048                    0.60
4096                    1.00
8192                    1.43
16384                   2.68
32768                   4.63
65536                   7.23
131072                 13.33
262144                 23.96
524288                 44.36
1048576                85.01
2097152               180.63
4194304               456.07

