# OSU MPI Latency Test v4.0.1
# Size          Latency (us)
0                       0.18
1                       0.23
2                       0.23
4                       0.24
8                       0.24
16                      0.24
32                      0.24
64                      0.26
128                     0.40
256                     0.42
512                     0.49
1024                    0.58
2048                    0.82
4096                    1.13
8192                    1.68
16384                   2.97
32768                   5.08
65536                   7.98
131072                 14.05
262144                 25.16
524288                 47.46
1048576                91.99
2097152               192.97
4194304               493.23

