r22089 | rhc | 2009-10-10 23:44:39 Applied
r22090 | rhc | 2009-10-11 19:50:42 Applied
r22091 | rhc | 2009-10-13 00:19:07 Applied
r22093 | rhc | 2009-10-13 11:14:28 ASK for CMR (RMCAST/CM)
r22094 | rhc | 2009-10-13 11:14:54 ASK for CMR (RMCAST/CM)
r22095 | rhc | 2009-10-13 11:29:38 ASK for CMR (Routed/CM)
r22096 | rhc | 2009-10-13 21:47:32 No Action (Platform CISCO)
r22097 | rhc | 2009-10-13 21:48:30 No Action (Platform CISCO)
r22098 | tdd | 2009-10-14 07:40:47 Applied
r22099 | rhc | 2009-10-14 13:43:40 ASK for CMR (RMCAST)
r22100 | rhc | 2009-10-14 18:49:56 FILE CMR  (ODLS Error bugfix)
r22101 | rhc | 2009-10-14 22:35:53 FILE CMR  (ODLS Error bugfix)
r22102 | rhc | 2009-10-14 22:39:15 ASK for CMR (RMCAST)
r22104 | tdd | 2009-10-15 11:03:21 Applied
r22105 | rhc | 2009-10-15 13:47:42 ASK for CMR (RMCAST)
r22106 | tdd | 2009-10-15 14:05:24 Applied
r22107 | rhc | 2009-10-16 00:21:22 ASK for CMR (RMCAST)
r22108 | rhc | 2009-10-16 12:12:37 ASK for CMR (Platform Cisco) 
r22109 | bosilca | 2009-10-19 13:58:47  FILE CMR (Tuned Collectives fall back to default)
r22110 | rhc | 2009-10-20 00:05:16 FILE CMR (OPAL fix to find foo/bar -- not just ./foo/bar)
r22111 | rhc | 2009-10-20 03:28:23 Applied
r22113 | rhc | 2009-10-20 19:44:20 FILE CMR (config split)
r22114 | rhc | 2009-10-20 19:45:35 No action (sensor)
r22115 | rhc | 2009-10-20 19:46:46 No action (ortecc wrapper)
r22117 | jsquyres | 2009-10-20 21:13:21 FILE (CMR (per config split!)
r22119 | pasha | 2009-10-21 12:28:40 No action (sensor)
r22120 | rusraink | 2009-10-21 21:58:13 Applied
r22121 | rusraink | 2009-10-21 22:07:23 Applied (although not marked)
r22122 | jsquyres | 2009-10-22 12:50:45 Applied
r22123 | rusraink | 2009-10-22 13:18:50 FILE CMR (config split)
r22124 | jsquyres | 2009-10-22 13:18:57 FILE CMR (config split)
r22125 | rusraink | 2009-10-22 13:22:15 No action (Platform ORNL)
r22126 | jsquyres | 2009-10-22 13:57:05 No action (per 22115 ortecc wrapper)
r22127 | jsquyres | 2009-10-22 14:02:48 Applied
r22128 | jsquyres | 2009-10-22 17:46:05 Applied
r22129 | rhc | 2009-10-22 19:38:19 Hmmm, up to now, I marked this as No action (RMCAST/Sensor), but this shows up in ompi_info!!!!!
r22130 | timattox | 2009-10-22 21:16:45 FILE CMR (config split)
r22131 | timattox | 2009-10-22 22:38:51 Depending r22129 (RMCAST/Sensor & ompi_info)
r22132 | bosilca | 2009-10-22 22:43:13 FILE CMR (fix compile warning -- fix file string)
r22133 | timattox | 2009-10-23 00:42:37 No Action (Platform CISCO)
r22134 | jsquyres | 2009-10-23 09:00:59 FILE CMR (config split)
r22135 | rhc | 2009-10-23 20:59:58 No Action (Platform Cisco)
r22136 | rhc | 2009-10-23 21:00:19 FILE CMR (add ompi_wrapper_script to build-hgignore.pl)
r22137 | rhc | 2009-10-23 21:00:38 FILE CMR (couple of simple f90 test files)
r22138 | rhc | 2009-10-23 21:04:35 FILE CMR (config split, part2)
r22139 | rhc | 2009-10-25 05:13:19 FILE CMR (config split, part2, depends on r22138)
r22140 | shiqing | 2009-10-26 09:17:55 Applied
r22141 | shiqing | 2009-10-26 09:24:02 ASK for CMR (fix Windows.cmake file!) 
r22142 | shiqing | 2009-10-26 09:26:06 ASK for CMR (Update opal/tools/wrappers/CMakeLists.txt)
r22143 | tdd | 2009-10-26 14:41:53 CMR filed #2072
r22144 | jsquyres | 2009-10-26 17:32:15 Applied
r22145 | shiqing | 2009-10-27 14:22:14 ASK for CMR (Windows: Get rid of several shadow files for windows build)
r22146 | shiqing | 2009-10-27 14:25:27 ASK for CMR (Windows: depends on r22145)
