# OSU MPI Bandwidth Test (Version 2.0)
# Size          Bandwidth (MB/s) 
1               0.180975
2               0.365537
4               0.730864
8               1.461231
16              2.920952
32              5.793988
64              11.254934
128             27.403607
256             55.811413
512             109.614427
1024            210.083847
2048            329.558204
4096            506.783138
8192            749.913297
16384           570.730147
32768           794.796561
65536           968.103658
131072          990.723946
262144          1009.216695
524288          1032.053241
1048576         1063.046034
2097152         1209.998818
4194304         1346.575306

