# OSU MPI Latency Test (Version 2.0)
# Size          Latency (us) 
0               9.39
1               8.98
2               6.92
4               6.94
8               6.94
16              6.99
32              7.09
64              7.30
128             7.56
256             7.70
512             8.27
1024            9.38
2048            12.14
4096            14.51
8192            19.79
16384           43.00
32768           64.82
65536           104.82
131072          164.28
262144          293.86
524288          536.71
1048576         1049.46
2097152         2213.57
4194304         3686.72

