
                Domain Number     Process Rank    Interface  Interface
       Type   Sender  Receiver  Sender  Receiver  Send No.   Receive No.  No. of Cells  Message Tag
       ----   ------  --------  ------  --------  ---------  ----------   ------------  -----------
    mpi-send       1       725       0       120          7           1            672            7
    mpi-send       1       725       0       120          8          13            417            8
    mpi-recv     725         1     120         0          1           4            672          107
    mpi-recv     725         1     120         0         13           8            417          108
 
    mpi-send       2        14       0         2          7           1            228           15
    mpi-send       2        14       0         2          8          13             10           16
    mpi-send       2       373       0        62          9           1            604           17
    mpi-send       2       373       0        62         10           8            261           18
    mpi-send       2       747       0       124         11           1            496           19
    mpi-send       2       747       0       124         12          11            406           20
    mpi-recv      14         2       2         0          1           4            228          109
    mpi-recv     373         2      62         0          1           5            604          110
    mpi-recv     747         2     124         0          1           6            496          111
    mpi-recv      14         2       2         0         13          10             10          112
    mpi-recv     373         2      62         0          8          11            261          113
    mpi-recv     747         2     124         0         11          12            406          114
 
    mpi-send       3        19       0         3          1           1            639           21
    mpi-send       3        19       0         3          2          11            636           22
    mpi-send       3        42       0         6          3           1             17           23
    mpi-send       3        42       0         6          4           9             49           24
    mpi-send       3       100       0        16          5          14             22           25
    mpi-send       3       106       0        17          6           1            635           26
    mpi-send       3       106       0        17          7          11            589           27
    mpi-send       3       124       0        20          8           1             57           28
    mpi-send       3       124       0        20          9          11             14           29
    mpi-send       3       128       0        21         10           1             16           30
    mpi-send       3       128       0        21         11          12            590           31
    mpi-send       3       236       0        39         12           1            324           32
    mpi-send       3       236       0        39         13          16             28           33
    mpi-send       3       347       0        57         14           1            302           34
    mpi-send       3       347       0        57         15          11            104           35
    mpi-send       3       436       0        72         16           1            976           36
    mpi-send       3       436       0        72         17          11            945           37
    mpi-send       3       480       0        79         18           1            460           38
    mpi-send       3       480       0        79         19          13            344           39
    mpi-send       3       486       0        80         20           1            311           40
    mpi-send       3       486       0        80         21          14             52           41
    mpi-send       3       666       0       110         22           1            513           42
    mpi-send       3       666       0       110         23          12            378           43
    mpi-send       3       671       0       111         24          14              9           44
    mpi-send       3       738       0       122         25           1             14           45
    mpi-send       3       738       0       122         26           8            433           46
    mpi-send       3       739       0       123         27          16              5           47
    mpi-send       3       844       0       140         28           1             48           48
    mpi-send       3       844       0       140         29          10            901           49
    mpi-send       3       846       0       140         30           9             43           50
    mpi-send       3       949       0       158         31           1             96           51
    mpi-send       3       949       0       158         32          12              7           52
    mpi-recv      19         3       3         0          1           1            639          115
    mpi-recv      42         3       6         0          1           2             17          116
    mpi-recv     106         3      17         0          1           3            635          117
    mpi-recv     124         3      20         0          1           4             57          118
    mpi-recv     128         3      21         0          1           5             16          119
    mpi-recv     236         3      39         0          1           6            324          120
    mpi-recv     347         3      57         0          1           7            302          121
    mpi-recv     436         3      72         0          1           8            976          122
    mpi-recv     480         3      79         0          1           9            460          123
    mpi-recv     486         3      80         0          1          10            311          124
    mpi-recv     666         3     110         0          1          11            513          125
    mpi-recv     738         3     122         0          1          12             14          126
    mpi-recv     844         3     140         0          1          13             48          127
    mpi-recv     949         3     158         0          1          14             96          128
    mpi-recv      19         3       3         0         11          15            636          129
    mpi-recv      42         3       6         0          9          16             49          130
    mpi-recv     100         3      16         0         14          17             22          131
    mpi-recv     106         3      17         0         11          18            589          132
    mpi-recv     124         3      20         0         11          19             14          133
    mpi-recv     128         3      21         0         12          20            590          134
    mpi-recv     236         3      39         0         16          21             28          135
    mpi-recv     347         3      57         0         11          22            104          136
    mpi-recv     436         3      72         0         11          23            945          137
    mpi-recv     480         3      79         0         13          24            344          138
    mpi-recv     486         3      80         0         14          25             52          139
    mpi-recv     666         3     110         0         12          26            378          140
    mpi-recv     671         3     111         0         14          27              9          141
    mpi-recv     738         3     122         0          8          28            433          142
    mpi-recv     739         3     123         0         16          29              5          143
    mpi-recv     844         3     140         0         10          30            901          144
    mpi-recv     846         3     140         0          9          31             43          145
    mpi-recv     949         3     158         0         12          32              7          146
 
    mpi-send       4       373       0        62          6           2            962           58
    mpi-send       4       373       0        62          7           9            663           59
    mpi-send       4       422       0        70          8           1            440           60
    mpi-send       4       422       0        70          9          14             30           61
    mpi-send       4       423       0        70         10           1             49           62
    mpi-send       4       423       0        70         11           7            219           63
    mpi-send       4       722       0       120         12           1            125           64
    mpi-send       4       722       0       120         13           8             19           65
    mpi-send       4       725       0       120         14           2            328           66
    mpi-send       4       725       0       120         15          14            193           67
    mpi-send       4       747       0       124         16          12              3           68
    mpi-recv     373         4      62         0          2           3            962          147
    mpi-recv     422         4      70         0          1           4            440          148
    mpi-recv     423         4      70         0          1           5             49          149
    mpi-recv     722         4     120         0          1           6            125          150
    mpi-recv     725         4     120         0          2           7            328          151
    mpi-recv     373         4      62         0          9          11            663          152
    mpi-recv     422         4      70         0         14          12             30          153
    mpi-recv     423         4      70         0          7          13            219          154
    mpi-recv     722         4     120         0          8          14             19          155
    mpi-recv     725         4     120         0         14          15            193          156
    mpi-recv     747         4     124         0         12          16              3          157
 
    mpi-send       5         9       0         1          6           1             41           74
    mpi-send       5         9       0         1          7           7            278           75
    mpi-send       5        11       0         1          8           1            694           76
    mpi-send       5        11       0         1          9           5            648           77
    mpi-send       5        14       0         2         10           2            509           78
    mpi-send       5        14       0         2         11          14            315           79
    mpi-send       5       242       0        40         12           9             79           80
    mpi-send       5       244       0        40         13           8             88           81
    mpi-send       5       373       0        62         14          10              3           82
    mpi-send       5       423       0        70         15           8              3           83
    mpi-send       5       683       0       113         16           7            147           84
    mpi-send       5       725       0       120         17           3            414           85
    mpi-send       5       725       0       120         18          15            516           86
    mpi-send       5       747       0       124         19          13            405           87
    mpi-recv       9         5       1         0          1           3             41          158
    mpi-recv      11         5       1         0          1           4            694          159
    mpi-recv      14         5       2         0          2           5            509          160
    mpi-recv     725         5     120         0          3           6            414          161
    mpi-recv       9         5       1         0          7          10            278          162
    mpi-recv      11         5       1         0          5          11            648          163
    mpi-recv      14         5       2         0         14          12            315          164
    mpi-recv     242         5      40         0          9          13             79          165
    mpi-recv     244         5      40         0          8          14             88          166
    mpi-recv     373         5      62         0         10          15              3          167
    mpi-recv     423         5      70         0          8          16              3          168
    mpi-recv     683         5     113         0          7          17            147          169
    mpi-recv     725         5     120         0         15          18            516          170
    mpi-recv     747         5     124         0         13          19            405          171
 
    mpi-send       6         8       0         1          1           1            491           88
    mpi-send       6         8       0         1          2           9            742           89
    mpi-send       6        22       0         3          3           7            177           90
    mpi-send       6        24       0         3          4           8             41           91
    mpi-send       6       362       0        60          5           1             92           92
    mpi-send       6       362       0        60          6           7             64           93
    mpi-send       6       366       0        60          7           1             33           94
    mpi-send       6       366       0        60          8          11            475           95
    mpi-send       6       368       0        61          9           1             90           96
    mpi-send       6       368       0        61         10          10            169           97
    mpi-send       6       479       0        79         11           1             94           98
    mpi-send       6       479       0        79         12           9            187           99
    mpi-send       6       488       0        81         13           6             73          100
    mpi-send       6       573       0        95         14          12            238          101
    mpi-send       6       742       0       123         15           1           1098          102
    mpi-send       6       742       0       123         16          11            679          103
    mpi-send       6       796       0       132         17           1            756          104
    mpi-send       6       796       0       132         18           7            615          105
    mpi-send       6       900       0       149         19          13            168          106
    mpi-recv       8         6       1         0          1           1            491          172
    mpi-recv     362         6      60         0          1           2             92          173
    mpi-recv     366         6      60         0          1           3             33          174
    mpi-recv     368         6      61         0          1           4             90          175
    mpi-recv     479         6      79         0          1           5             94          176
    mpi-recv     742         6     123         0          1           6           1098          177
    mpi-recv     796         6     132         0          1           7            756          178
    mpi-recv       8         6       1         0          9           8            742          179
    mpi-recv      22         6       3         0          7           9            177          180
    mpi-recv      24         6       3         0          8          10             41          181
    mpi-recv     362         6      60         0          7          11             64          182
    mpi-recv     366         6      60         0         11          12            475          183
    mpi-recv     368         6      61         0         10          13            169          184
    mpi-recv     479         6      79         0          9          14            187          185
    mpi-recv     488         6      81         0          6          15             73          186
    mpi-recv     573         6      95         0         12          16            238          187
    mpi-recv     742         6     123         0         11          17            679          188
    mpi-recv     796         6     132         0          7          18            615          189
    mpi-recv     900         6     149         0         13          19            168          190
 
